,MODZCTA,Positive,Total,zcta_cum.perc_pos,Zip,City,State,Latitude,Longitude,geopoint,0,id,Geographic Area Name,Total_HOUSEHOLD SIZE,1-person household,2-person household,3-person household,4-person household,5-person household,6-person household,7-or-more-person household
57,10455.0,626,998,62.73,10455,Bronx,NY,40.815559,-73.90771,"40.815559,-73.90771",1133,8710000US3610455,"ZCTA5 10455, New York",12880,25.13,22.42,18.45,14.77,9.74,5.01,4.48
58,10456.0,1250,2024,61.76,10456,Bronx,NY,40.829676,-73.90856,"40.829676,-73.90856",212,8710000US3610456,"ZCTA5 10456, New York",28122,25.01,22.32,18.9,14.79,9.63,4.84,4.51
59,10457.0,1069,1704,62.73,10457,Bronx,NY,40.846745,-73.89860999999999,"40.846745,-73.89861",264,8710000US3610457,"ZCTA5 10457, New York",22873,25.28,22.08,18.77,15.46,9.35,4.69,4.37
60,10458.0,1060,1813,58.47,10458,Bronx,NY,40.864166,-73.88880999999999,"40.864166,-73.88881",658,8710000US3610458,"ZCTA5 10458, New York",26201,26.21,22.61,18.83,14.96,8.81,4.4,4.18
61,10459.0,808,1296,62.35,10459,Bronx,NY,40.825432,-73.89327,"40.825432,-73.89327",698,8710000US3610459,"ZCTA5 10459, New York",15398,24.74,21.47,19.85,15.53,9.59,4.6,4.21
62,10460.0,847,1427,59.36,10460,Bronx,NY,40.84095,-73.88036,"40.84095,-73.88036",359,8710000US3610460,"ZCTA5 10460, New York",19512,26.51,22.41,19.52,14.8,8.86,4.11,3.8
63,10461.0,1083,2014,53.77,10461,Bronx,NY,40.842917,-73.83819,"40.842917,-73.83819",1329,8710000US3610461,"ZCTA5 10461, New York",19772,33.5,27.72,16.35,12.68,5.92,2.22,1.61
64,10462.0,1284,2306,55.68,10462,Bronx,NY,40.842172999999995,-73.85862,"40.842173,-73.85862",625,8710000US3610462,"ZCTA5 10462, New York",29855,32.34,26.84,17.25,12.35,6.26,2.57,2.39
65,10463.0,964,1965,49.06,10463,Bronx,NY,40.881085999999996,-73.90749,"40.881086,-73.90749",56,8710000US3610463,"ZCTA5 10463, New York",28408,36.19,29.28,15.57,11.0,4.76,1.86,1.34
66,10464.0,79,203,38.92,10464,Bronx,NY,40.857017,-73.78903000000001,"40.857017,-73.78903",1519,8710000US3610464,"ZCTA5 10464, New York",2089,38.58,31.31,14.27,10.29,3.49,1.48,0.57
